,101,102,103,104,105,106,107,108,109,113,Participation,111,112,No_GE,110,Commune_y,No,max,parti_max,Commune,parti_max_2013
0,2.9,8.35,11.73,29.96,15.77,9.26,2.05,0.12,3.34,0.4,47.59,12.93,2.23,1,0.97,Aire-la-Ville,6601,29.96,PLR,Aire-la-Ville,PLR
1,3.55,10.39,6.79,44.79,11.59,7.22,2.37,0.28,2.3,1.03,50.27,6.02,1.86,2,1.8,Anières,6602,44.79,PLR,Anières,PLR
2,7.16,13.82,18.78,17.12,9.03,6.75,5.89,0.09,5.9,1.04,37.0,11.29,1.9,3,1.23,Avully,6603,18.78,SOC,Avully,MCG
3,3.56,13.84,12.94,24.85,20.0,5.82,4.18,0.65,2.35,0.91,47.1,6.69,3.23,4,0.97,Avusy,6604,24.85,PLR,Avusy,PLR
4,5.14,11.04,10.05,24.71,27.18,5.48,2.66,0.82,2.62,1.73,53.9,6.89,1.36,5,0.35,Bardonnex,6605,27.18,PDC,Bardonnex,PLR
5,4.69,12.4,13.6,32.34,7.61,10.57,2.27,0.83,3.75,0.67,39.35,8.37,2.29,6,0.61,Bellevue,6606,32.34,PLR,Bellevue,PLR
6,4.72,12.31,15.26,23.47,18.57,8.06,3.22,0.37,2.76,0.71,44.27,8.17,1.66,7,0.71,Bernex,6607,23.47,PLR,Bernex,PLR
7,11.26,15.05,16.29,21.0,10.95,5.24,3.78,0.55,3.6,0.95,39.05,9.12,1.73,8,0.48,Carouge,6608,21.0,PLR,Carouge,MCG
8,6.67,14.98,11.77,30.2,10.83,7.14,5.17,0.07,1.82,1.34,48.43,5.77,2.7,9,1.55,Cartigny,6609,30.2,PLR,Cartigny,PLR
9,4.43,13.56,11.03,42.99,6.87,8.78,2.29,0.0,1.45,0.77,37.41,5.2,0.52,10,2.1,Céligny,6610,42.99,PLR,Céligny,PLR
10,8.0,10.94,14.03,14.09,10.95,8.25,5.16,0.59,3.86,1.49,34.22,18.13,2.51,11,1.99,Chancy,6611,18.13,MCG,Chancy,MCG
11,4.65,10.84,9.95,41.93,8.62,7.05,3.41,0.58,3.27,0.82,47.0,6.39,1.71,12,0.78,Chêne-Bougeries,6612,41.93,PLR,Chêne-Bougeries,PLR
12,7.42,15.62,13.45,23.54,9.89,5.98,3.7,1.95,4.78,0.46,40.35,11.41,1.35,13,0.44,Chêne-Bourg,6613,23.54,PLR,Chêne-Bourg,MCG
