Rang,nom,suffrages,sigle,parti,elu,sexe
1,MAUDET Pierre,27217,PLR,LIBÉRAUX-RADICAUX,1,0
2,FONTANET Nathalie,24573,PLR,LIBÉRAUX-RADICAUX,1,1
3,DE SENARCLENS Alexandre,22379,PLR,LIBÉRAUX-RADICAUX,1,0
4,HILTPOLD Serge,21876,PLR,LIBÉRAUX-RADICAUX,1,0
5,DE MONTMOLLIN Simone,21682,PLR,LIBÉRAUX-RADICAUX,1,1
6,MOREL Philippe,21627,PLR,LIBÉRAUX-RADICAUX,1,0
7,SAUDAN Patrick,21499,PLR,LIBÉRAUX-RADICAUX,1,0
8,AELLEN Cyril,21415,PLR,LIBÉRAUX-RADICAUX,1,0
9,DE CANDOLLE Beatriz,21164,PLR,LIBÉRAUX-RADICAUX,1,1
10,WICKY Raymond,21132,PLR,LIBÉRAUX-RADICAUX,1,0
11,VUILLOD Georges,21107,PLR,LIBÉRAUX-RADICAUX,1,0
12,PUTALLAZ Jean (Jean ROMAIN),21026,PLR,LIBÉRAUX-RADICAUX,1,0
13,BARDE Antoine,21021,PLR,LIBÉRAUX-RADICAUX,1,0
14,GENECAND Adrien,20921,PLR,LIBÉRAUX-RADICAUX,1,0
15,ALDER Murat Julian,20918,PLR,LIBÉRAUX-RADICAUX,1,0
16,CONNE Pierre,20892,PLR,LIBÉRAUX-RADICAUX,1,0
17,BÉNÉ Jacques,20889,PLR,LIBÉRAUX-RADICAUX,1,0
18,BARBIER-MUELLER Diane,20542,PLR,LIBÉRAUX-RADICAUX,1,1
19,ZUBER Céline (ROY),20522,PLR,LIBÉRAUX-RADICAUX,1,1
20,DE PLANTA Francine,20506,PLR,LIBÉRAUX-RADICAUX,1,1
21,ZWEIFEL Yvan,20445,PLR,LIBÉRAUX-RADICAUX,1,0
22,CUENDET Edouard,20430,PLR,LIBÉRAUX-RADICAUX,1,0
23,MONBARON Fabienne (MONBARON-STRESS),20406,PLR,LIBÉRAUX-RADICAUX,1,1
24,WOLFISBERG François,20335,PLR,LIBÉRAUX-RADICAUX,1,0
25,WAVRE Rolin,20319,PLR,LIBÉRAUX-RADICAUX,1,0
26,SELLEGER Charles,20309,PLR,LIBÉRAUX-RADICAUX,1,0
27,NICOLLIER Pierre,20173,PLR,LIBÉRAUX-RADICAUX,1,0
28,KÄMPFEN Véronique,20147,PLR,LIBÉRAUX-RADICAUX,1,1
81,APOTHÉLOZ Thierry,18113,SOC,LES SOCIALISTES,1,0
82,HODGERS Antonio,17137,VERT,LES VERTS,1,0
83,EMERY-TORRACINTA Anne,16565,SOC,LES SOCIALISTES,1,1
84,KAST Carole-Anne,16452,SOC,LES SOCIALISTES,1,1
85,SALERNO Sandrine,16330,SOC,LES SOCIALISTES,1,1
86,MARTI Caroline,14925,SOC,LES SOCIALISTES,1,1
87,DAL BUSCO Serge,14406,PDC,DÉMOCRATE-CHRÉTIEN,1,0
88,DANDRÈS Christian,14339,SOC,LES SOCIALISTES,1,0
89,RIELLE Jean Charles,14246,SOC,LES SOCIALISTES,1,0
90,ROCHAT Yvan,14167,VERT,LES VERTS,1,0
91,POGGIA Mauro,14131,MCG,MCG,1,0
92,DE SAINTE-MARIE Romain,14020,SOC,LES SOCIALISTES,1,0
93,WENGER Thomas,13678,SOC,LES SOCIALISTES,1,0
94,CARASSO Grégoire,13557,SOC,LES SOCIALISTES,1,0
95,VALIQUER GRECUCCIO Nicole,13532,SOC,LES SOCIALISTES,1,1
96,THÉVOZ Sylvain,13467,SOC,LES SOCIALISTES,1,0
97,VELASCO Alberto,13362,SOC,LES SOCIALISTES,1,0
98,MOYARD MIZRAHI Salima,13353,SOC,LES SOCIALISTES,1,1
99,DE CHASTONAY Marjorie,13234,VERT,LES VERTS,1,1
100,MIZRAHI Cyril,13123,SOC,LES SOCIALISTES,1,0
101,CONTI Jennifer,12859,SOC,LES SOCIALISTES,1,1
102,SOBANEK Marion,12806,SOC,LES SOCIALISTES,1,1
113,PERLER Frédérique,12318,VERT,LES VERTS,1,1
125,LEFORT François,11874,VERT,LES VERTS,1,0
126,BUSCHBECK Mathias,11860,VERT,LES VERTS,1,0
140,LEONELLI Katia,11514,VERT,LES VERTS,1,1
144,POGET Philippe,11477,VERT,LES VERTS,1,0
145,PASQUIER Isabelle (PASQUIER-EICHENBERGER),11441,VERT,LES VERTS,1,1
146,ECKERT Pierre,11357,VERT,LES VERTS,1,0
147,SORDET Adrienne,11293,VERT,LES VERTS,1,1
148,MARTIN David,11261,VERT,LES VERTS,1,0
149,KLOPFENSTEIN BROGGINI Delphine,11248,VERT,LES VERTS,1,1
150,ROSSIAUD Jean,11150,VERT,LES VERTS,1,0
151,TSCHUDI Paloma,11063,VERT,LES VERTS,1,1
161,BARTHASSAT Luc,10882,PDC,DÉMOCRATE-CHRÉTIEN,1,0
175,VON ARX-VERNON Anne-Marie,10559,PDC,DÉMOCRATE-CHRÉTIEN,1,1
190,BUCHS Bertrand,10425,PDC,DÉMOCRATE-CHRÉTIEN,1,0
213,HALLER Jocelyne,9923,EAG,ENSEMBLE À GAUCHE,1,1
217,BLONDIN Jacques,9713,PDC,DÉMOCRATE-CHRÉTIEN,1,0
218,BIDAUX Patricia (BIDAUX-RODRIGUEZ),9654,PDC,DÉMOCRATE-CHRÉTIEN,1,1
219,NIDEGGER Yves,9597,UDC,UDC,1,0
220,BOCQUET Claude,9585,PDC,DÉMOCRATE-CHRÉTIEN,1,1
221,MAITRE Vincent,9579,PDC,DÉMOCRATE-CHRÉTIEN,1,0
222,METTAN Guy,9557,PDC,DÉMOCRATE-CHRÉTIEN,1,0
223,GOLAY Roger,9296,MCG,MCG,1,0
224,CERUTTI Olivier,8939,PDC,DÉMOCRATE-CHRÉTIEN,1,0
225,PAGANI Rémy,8924,EAG,ENSEMBLE À GAUCHE,1,0
226,GUINCHARD Jean-Marc,8875,PDC,DÉMOCRATE-CHRÉTIEN,1,0
227,BACHMANN Delphine,8842,PDC,DÉMOCRATE-CHRÉTIEN,1,1
230,ROCH Ana Belen,8671,MCG,MCG,1,1
239,SORMANNI Daniel,8201,MCG,MCG,1,0
241,WENGER Saliha (Salika),8157,EAG,ENSEMBLE À GAUCHE,1,1
245,CERUTTI Thierry,8023,MCG,MCG,1,0
250,LEYVRAZ Eric,7940,UDC,UDC,1,0
258,PISTIS Sandro,7794,MCG,MCG,1,0
262,CRUCHON Pablo,7749,EAG,ENSEMBLE À GAUCHE,1,0
266,BLÄSI Thomas,7712,UDC,UDC,1,0
267,BURGERMEISTER Jean,7706,EAG,ENSEMBLE À GAUCHE,1,0
269,BÄRTSCHI François,7690,MCG,MCG,1,0
273,VANEK Pierre,7661,EAG,ENSEMBLE À GAUCHE,1,0
